2021-06-06 16:55:21 [http-nio-8082-exec-4] INFO  c.s.d.c.c.s.CarChargingSessionService - Add new charging entity request is received.
2021-06-06 16:55:21 [http-nio-8082-exec-4] INFO  c.s.d.c.c.s.CarChargingSessionService - New charging entity is saved with id: 90adb501-e91b-4888-b811-126753f9b9e6
2021-06-06 16:55:21 [http-nio-8082-exec-5] INFO  c.s.d.c.c.s.CarChargingSessionService - Add new charging entity request is received.
2021-06-06 16:55:21 [http-nio-8082-exec-5] INFO  c.s.d.c.c.s.CarChargingSessionService - New charging entity is saved with id: 19aca1d0-291d-4eb2-a999-64c842eb32de
2021-06-06 16:55:29 [http-nio-8082-exec-6] INFO  c.s.d.c.c.s.CarChargingSessionService - Stop charging entity request is received.
2021-06-06 16:55:29 [http-nio-8082-exec-6] INFO  c.s.d.c.c.s.CarChargingSessionService - Charging entity with id: 19aca1d0-291d-4eb2-a999-64c842eb32de is stopped successfully!
2021-06-06 16:55:32 [http-nio-8082-exec-7] INFO  c.s.d.c.c.s.CarChargingSessionService - Get all charging entitties request is received.
2021-06-06 16:55:33 [http-nio-8082-exec-8] INFO  c.s.d.c.c.s.CarChargingSessionService - Get all charging entitties request is received.
2021-06-06 16:55:33 [http-nio-8082-exec-9] INFO  c.s.d.c.c.s.CarChargingSessionService - Get all charging entitties request is received.
2021-06-06 16:55:39 [http-nio-8082-exec-10] INFO  c.s.d.c.c.s.CarChargingSessionService - Retrieve summary request is received.
2021-06-06 16:55:39 [http-nio-8082-exec-10] INFO  c.s.d.c.c.s.CarChargingSessionService - Summory of the charging session is calculated! 
2021-06-06 16:55:40 [http-nio-8082-exec-2] INFO  c.s.d.c.c.s.CarChargingSessionService - Retrieve summary request is received.
2021-06-06 16:55:40 [http-nio-8082-exec-2] INFO  c.s.d.c.c.s.CarChargingSessionService - Summory of the charging session is calculated! 
2021-06-06 16:55:41 [http-nio-8082-exec-1] INFO  c.s.d.c.c.s.CarChargingSessionService - Retrieve summary request is received.
2021-06-06 16:55:41 [http-nio-8082-exec-1] INFO  c.s.d.c.c.s.CarChargingSessionService - Summory of the charging session is calculated! 
